Participant,Question,Scores
12,OIRB4B_4_TEXT,
12,OIRB5A,4
12,OIRB5B,The user did not understand the device
12,OIRB5B_4_TEXT,
12,RFCA1A,3
12,RFCA2A,3
12,RFCA3A,4
12,RFCA4A,4
12,RFCA5A,4
12,RFCB1A,3
12,RFCB2A,3
12,RFCB3A,4
12,RFCB4A,3
12,RFCB5A,4
12,RFCC1A,4
12,RFCC2A,2
12,RFCC3A,4
12,RFCC4A,4
12,RFCC5A,4
12,RFCD1A,4
12,RFCD2A,3
12,RFCD3A,4
12,RFCD4A,4
12,RFCD5A,4
12,FEEDBK,
13,DEM1,Yes
13,DEM2,55-64 years old
13,ATTN,Yes
13,EXP1,No
13,EXP1A,
13,EXP1A_4_TEXT,NA
13,EXP2,No
13,EXP3,No
13,OIRA1A,2
13,OIRA1B,Other (if other, please describe):
13,OIRA1B_4_TEXT,Idiot user
13,OIRA2A,2
13,OIRA2B,Other (if other, please describe):
13,OIRA2B_4_TEXT,Idiot user
13,OIRA3A,2
13,OIRA3B,Other (if other, please describe):
13,OIRA3B_4_TEXT,Device not clear 
13,OIRA4A,1
13,OIRA4B,Other (if other, please describe):
13,OIRA4B_4_TEXT,User is an idiot 
13,OIRA5A,2
13,OIRA5B,Other (if other, please describe):
13,OIRA5B_4_TEXT,Device not clear & instructions not clear
13,OIRB1A,2
13,OIRB1B,The user was confused by the device's response
13,OIRB1B_4_TEXT,
13,OIRB2A,2
13,OIRB2B,Other (if other, please describe):
13,OIRB2B_4_TEXT,Idiot user
13,OIRB3A,2
13,OIRB3B,Other (if other, please describe):
13,OIRB3B_4_TEXT,Device was not specific enough or didn't understand enough
13,OIRB4A,2
13,OIRB4B,Other (if other, please describe):
13,OIRB4B_4_TEXT,I don't know; idiot user?
13,OIRB5A,2
13,OIRB5B,The user was confused by the device's response
13,OIRB5B_4_TEXT,
13,RFCA1A,1
13,RFCA2A,5
13,RFCA3A,5
13,RFCA4A,5
13,RFCA5A,5
13,RFCB1A,1
13,RFCB2A,5
13,RFCB3A,1
13,RFCB4A,2
13,RFCB5A,1
13,RFCC1A,1
13,RFCC2A,1
13,RFCC3A,4
13,RFCC4A,2
13,RFCC5A,1
13,RFCD1A,1
13,RFCD2A,1
13,RFCD3A,2
13,RFCD4A,2
13,RFCD5A,1
13,FEEDBK,Rather generational in many aspects (language in particular). And probably country/cultural too.
14,DEM1,Yes
14,DEM2,35-44 years old
14,ATTN,Yes
14,EXP1,Yes
14,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
14,EXP1A_4_TEXT,NA
14,EXP2,No
14,EXP3,Yes
14,OIRA1A,5
14,OIRA1B,The user was not able to hear the device
14,OIRA1B_4_TEXT,
14,OIRA2A,4
14,OIRA2B,The user did not understand the device
14,OIRA2B_4_TEXT,
14,OIRA3A,4
14,OIRA3B,The user was confused by the device's response
14,OIRA3B_4_TEXT,
14,OIRA4A,5
14,OIRA4B,The user was not able to hear the device
14,OIRA4B_4_TEXT,
14,OIRA5A,5
14,OIRA5B,The user was confused by the device's response
14,OIRA5B_4_TEXT,
14,OIRB1A,5
14,OIRB1B,The user was not able to hear the device
14,OIRB1B_4_TEXT,
14,OIRB2A,4
14,OIRB2B,The user was not able to hear the device
14,OIRB2B_4_TEXT,
14,OIRB3A,4
14,OIRB3B,The user was confused by the device's response
14,OIRB3B_4_TEXT,
14,OIRB4A,5
14,OIRB4B,The user was not able to hear the device
14,OIRB4B_4_TEXT,
14,OIRB5A,4
14,OIRB5B,The user was confused by the device's response
14,OIRB5B_4_TEXT,
14,RFCA1A,5
14,RFCA2A,5
14,RFCA3A,5
14,RFCA4A,5
14,RFCA5A,5
14,RFCB1A,3
14,RFCB2A,4
14,RFCB3A,3
14,RFCB4A,4
14,RFCB5A,2
14,RFCC1A,3
14,RFCC2A,2
14,RFCC3A,4
14,RFCC4A,3
14,RFCC5A,2
14,RFCD1A,4
14,RFCD2A,3
14,RFCD3A,3
14,RFCD4A,2
14,RFCD5A,4
14,FEEDBK,none.
15,DEM1,Yes
15,DEM2,35-44 years old
15,ATTN,Yes
15,EXP1,Yes
15,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
15,EXP1A_4_TEXT,NA
15,EXP2,No
15,EXP3,No
15,OIRA1A,4
15,OIRA1B,The user was not able to hear the device
15,OIRA1B_4_TEXT,
15,OIRA2A,4
15,OIRA2B,The user was confused by the device's response
15,OIRA2B_4_TEXT,
15,OIRA3A,4
15,OIRA3B,The user was confused by the device's response
15,OIRA3B_4_TEXT,
15,OIRA4A,4
15,OIRA4B,The user was confused by the device's response
15,OIRA4B_4_TEXT,
15,OIRA5A,5
15,OIRA5B,The user did not understand the device
15,OIRA5B_4_TEXT,
15,OIRB1A,4
15,OIRB1B,The user was not able to hear the device
15,OIRB1B_4_TEXT,
15,OIRB2A,4
15,OIRB2B,The user was not able to hear the device
15,OIRB2B_4_TEXT,
15,OIRB3A,4
15,OIRB3B,The user was not able to hear the device
15,OIRB3B_4_TEXT,
15,OIRB4A,5
15,OIRB4B,The user was not able to hear the device
15,OIRB4B_4_TEXT,
15,OIRB5A,5
15,OIRB5B,The user was confused by the device's response
15,OIRB5B_4_TEXT,
15,RFCA1A,4
15,RFCA2A,5
15,RFCA3A,5
15,RFCA4A,5
15,RFCA5A,5
15,RFCB1A,4
15,RFCB2A,4
15,RFCB3A,2
15,RFCB4A,2
15,RFCB5A,3
15,RFCC1A,2
15,RFCC2A,2
15,RFCC3A,4
15,RFCC4A,2
15,RFCC5A,2
15,RFCD1A,2
15,RFCD2A,3
15,RFCD3A,2
15,RFCD4A,2
15,RFCD5A,2
15,FEEDBK,none
16,DEM1,Yes
16,DEM2,55-64 years old
16,ATTN,Yes
16,EXP1,Yes
16,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
16,EXP1A_4_TEXT,NA
16,EXP2,No
16,EXP3,Yes
16,OIRA1A,5
16,OIRA1B,The user did not understand the device
16,OIRA1B_4_TEXT,
16,OIRA2A,4
16,OIRA2B,The user was confused by the device's response
16,OIRA2B_4_TEXT,
16,OIRA3A,5
16,OIRA3B,Other (if other, please describe):
16,OIRA3B_4_TEXT,the device didn't understand the user
16,OIRA4A,5
16,OIRA4B,The user did not understand the device
16,OIRA4B_4_TEXT,
16,OIRA5A,5
16,OIRA5B,The user did not understand the device
16,OIRA5B_4_TEXT,
16,OIRB1A,5
16,OIRB1B,The user was not able to hear the device
16,OIRB1B_4_TEXT,
16,OIRB2A,4
16,OIRB2B,The user was not able to hear the device
16,OIRB2B_4_TEXT,
16,OIRB3A,4
16,OIRB3B,The user was confused by the device's response
16,OIRB3B_4_TEXT,
16,OIRB4A,5
16,OIRB4B,Other (if other, please describe):
16,OIRB4B_4_TEXT,the deice didn't understand the user
16,OIRB5A,4
16,OIRB5B,The user was confused by the device's response
16,OIRB5B_4_TEXT,
16,RFCA1A,4
16,RFCA2A,3
16,RFCA3A,5
16,RFCA4A,5
16,RFCA5A,5
16,RFCB1A,2
16,RFCB2A,2
16,RFCB3A,2
16,RFCB4A,2
16,RFCB5A,2
16,RFCC1A,3
16,RFCC2A,3
16,RFCC3A,2
16,RFCC4A,3
16,RFCC5A,3
16,RFCD1A,2
16,RFCD2A,2
16,RFCD3A,3
16,RFCD4A,2
16,RFCD5A,2
16,FEEDBK,
17,DEM1,Yes
17,DEM2,25-34 years old
17,ATTN,Yes
17,EXP1,Yes
17,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
17,EXP1A_4_TEXT,NA
17,EXP2,No
17,EXP3,Yes
17,OIRA1A,3
17,OIRA1B,The user was confused by the device's response
17,OIRA1B_4_TEXT,
17,OIRA2A,4
17,OIRA2B,The user was confused by the device's response
17,OIRA2B_4_TEXT,
17,OIRA3A,2
17,OIRA3B,The user was confused by the device's response
17,OIRA3B_4_TEXT,
17,OIRA4A,3
17,OIRA4B,The user was confused by the device's response
17,OIRA4B_4_TEXT,
17,OIRA5A,3
17,OIRA5B,The user was confused by the device's response
17,OIRA5B_4_TEXT,
17,OIRB1A,4
17,OIRB1B,The user was not able to hear the device
17,OIRB1B_4_TEXT,
17,OIRB2A,3
17,OIRB2B,The user did not understand the device
